keys,cs,en,nl,la
GamePlayerRed,ČERVENÝ,RED,ROOD,RUBER
GamePlayerBlue,MODRÝ,BLUE,BLAUW,CAERULEUS
GameButtonDice,Kostky,Roll,Gooi,Aleae
GameTextUndeployed,Na startu,Waiting pieces,Niet-ingezette stukken,Lantruculi expectantes
GameTextExited,V domečku,Exited pieces,"Stukken die het bord
zijn verlaten",Lantruculi in domo
GameCrystalLanded,"Stoupli jste na krystalové políčko!
Můžete házet znovu.","You have landed on a crystal!
You get to roll again.","Je bent op een kristal geland!
Je mag opnieuw gooien.","Stas in crystallo! Iace iterum."
GameZeroRolled,"Nemůžete táhnout!
Na kostkách jste hodili součet 0.","You rolled 0 marks!
Your turn has ended, because you can't move.","Je hebt 0 gegooid!
Je beurt is over, omdat je niet kan bewegen.","Nihil punctum iacebas! 
GameNoFreeSpaces,"Nemůžete táhnout!
Všechna pole jsou obsazena jinými kameny...","Your turn has ended, because you can't move.","Je beurt is over, omdat je niet kan bewegen.",
GamePauseTitle,Pozastaveno,Paused,Gepauzeerd,In mora
GamePauseFullscreen,Na celou obrazovku,Fullscreen,Volledig scherm,Tabulam magnifice
GamePauseEnd,Ukončit hru,Quit,Spel verlaten,"Ludum neca!"
GameXWins,"Vyhrává
{}","{}
Wins","{}
Wint","{} vincit."
GameWinScreenEnd,KONEC,FINISH,FINISH,FINIS
CreditsThankYou,"Hexalema, vytvořili společně Daniel, Monika, Honza, a Žaneta.
Děkujeme za pomoc Filipovi a Lukášovi.
Lokalizaci do angličtiny a nizozemštiny napsala Charlotte.","Hexalema, created by Daniel, Monika, Honza, and Žaneta.
Special thanks to Filip and Lukáš.
Dutch and English localization were done by Charlotte.","Hexalema, gemaakt door Daniel, Monika, Honza, en Žaneta.
Speciale dank aan Filip and Lukáš.
Nederlandse en Engelse lokalisaties zijn gedaan door Charlotte.","Hexalema a Daniel, Monika, Honza, Žanetque creatur.
Gratias agimus Filip Lukášque.
Linguae Angliae et linguae Bataviae versum a Charlotte."
CreditsPixabay,"Ve hře je použito pár obrázků z Pixabay.

https://pixabay.com/users/blickpixel-52945/ - Textura dřeva v pozadí.
https://pixabay.com/users/openclipart-vectors-30363/ - Pohár vítěze.","The game uses a few images from Pixabay:

https://pixabay.com/users/blickpixel-52945/ - The wood texture in the background.
https://pixabay.com/users/openclipart-vectors-30363/ - The winner's trophy.","Het spel gebruikt een paar afbeeldingen van Pixabay:

https://pixabay.com/users/blickpixel-52945/ - De houttextuur in de achtergrond.
https://pixabay.com/users/openclipart-vectors-30363/ - De winnaar's trofee.","In ludo picturae paucae e Pixabay uterit.

https://pixabay.com/users/blickpixel-52945/ - Structura ligni in umbras.
https://pixabay.com/users/openclipart-vectors-30363/ - Trophaeum victoris."
CreditsGDEngine,"Hra byla vytvořena v Godot Engine.
Licence:","This game was made using the Godot Engine.
Licence:","Dit spel was gemaakt met de Godot Engine.
Licentie:","Ludus per Godot Engine faciebatur."
WhatsNew130,"Verze 1.3.0
-----------------
- Přidali jsme angličtinu a nizozemštinu jako podporované jazyky.
- Přidali jsme sekci o nově přidaných funkcích.
- Malé úpravy k českým textům.","Version 1.3.0
-----------------
- Added support for English and Dutch.
- Added the changelog section.
- Tweaked some Czech text.","Version 1.3.0
-----------------
- Ondersteuning toegevoegd voor Engels en Nederlands.
- Wijzigingsoverzicht toegevoegd.
- Kleine wijzigingen aan wat Tsjechische tekst.","Versio I.III.nihil
-----------------
- Addebamus linguam Angliae et linguam Bataviae sic linguas subnixas.
- Addebamus partem hic de instrumentis novis.
- Vellicabamus inscripta in lingua Bohemicae."
